pollster_rating_name,methodology,numeric_grade,start_date,end_date,sample_size,state,candidate_name,percent,transparency_score,population_group,days_until_election
Emerson College,Mixed,2.9,2024-10-21,2024-10-22,860,Pennsylvania,Kamala Harris,49,7,likely voters,14
Emerson College,Mixed,2.9,2024-10-21,2024-10-22,860,Pennsylvania,Donald Trump,50.7,7,likely voters,14
Emerson College,Mixed,2.9,2024-10-21,2024-10-22,950,North Carolina,Kamala Harris,48.2,7,likely voters,14
Emerson College,Mixed,2.9,2024-10-21,2024-10-22,950,North Carolina,Donald Trump,50.2,7,likely voters,14
Emerson College,Mixed,2.9,2024-10-21,2024-10-22,800,Wisconsin,Kamala Harris,49.2,7,likely voters,14
Emerson College,Mixed,2.9,2024-10-21,2024-10-22,800,Wisconsin,Donald Trump,49.9,7,likely voters,14
YouGov,Online Panel,3,2024-10-19,2024-10-22,1422,National,Kamala Harris,48,9,registered voters,14
YouGov,Online Panel,3,2024-10-19,2024-10-22,1422,National,Donald Trump,46,9,registered voters,14
YouGov,Online Panel,3,2024-10-19,2024-10-22,1293,National,Kamala Harris,49,9,likely voters,14
YouGov,Online Panel,3,2024-10-19,2024-10-22,1293,National,Donald Trump,46,9,likely voters,14
Emerson College,Mixed,2.9,2024-10-19,2024-10-22,825,South Dakota,Kamala Harris,36.5,7,likely voters,14
Emerson College,Mixed,2.9,2024-10-19,2024-10-22,825,South Dakota,Donald Trump,62,7,likely voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1356,Georgia,Kamala Harris,49,9,registered voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1356,Georgia,Donald Trump,48,9,registered voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1193,Georgia,Kamala Harris,49,9,likely voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1193,Georgia,Donald Trump,49,9,likely voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1410,North Carolina,Kamala Harris,48,9,registered voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1410,North Carolina,Donald Trump,49,9,registered voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1226,North Carolina,Kamala Harris,48,9,likely voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1226,North Carolina,Donald Trump,50,9,likely voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1329,Arizona,Kamala Harris,49,9,registered voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1329,Arizona,Donald Trump,49,9,registered voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1193,Arizona,Kamala Harris,49,9,likely voters,14
Marist College,Mixed,2.9,2024-10-17,2024-10-22,1193,Arizona,Donald Trump,50,9,likely voters,14
Emerson College,Mixed,2.9,2024-10-19,2024-10-21,865,Maryland,Kamala Harris,64,7,likely voters,15
Emerson College,Mixed,2.9,2024-10-19,2024-10-21,865,Maryland,Donald Trump,34.4,7,likely voters,15
YouGov,Online Panel,3,2024-10-18,2024-10-21,1266,National,Kamala Harris,47,9,registered voters,15
YouGov,Online Panel,3,2024-10-18,2024-10-21,1266,National,Donald Trump,45,9,registered voters,15
YouGov,Online Panel,3,2024-10-18,2024-10-21,1189,National,Kamala Harris,48,9,likely voters,15
YouGov,Online Panel,3,2024-10-18,2024-10-21,1189,National,Donald Trump,45,9,likely voters,15
Emerson College,Mixed,2.9,2024-10-18,2024-10-21,815,Texas,Kamala Harris,45.9,7,likely voters,15
Emerson College,Mixed,2.9,2024-10-18,2024-10-21,815,Texas,Donald Trump,53.1,7,likely voters,15
Monmouth University Polling Institute,Mixed,2.9,2024-10-17,2024-10-21,802,National,Kamala Harris,47,9,registered voters,15
Monmouth University Polling Institute,Mixed,2.9,2024-10-17,2024-10-21,802,National,Donald Trump,44,9,registered voters,15
Quinnipiac University,Live Phone,2.8,2024-10-17,2024-10-21,1136,Michigan,Kamala Harris,49,9,likely voters,15
Quinnipiac University,Live Phone,2.8,2024-10-17,2024-10-21,1136,Michigan,Donald Trump,46,9,likely voters,15
